username, created_at, lng, lat, text
Kiezz9, Mon Feb 01 23:05:54 +0000 2021, -80.146568, 39.478155, @jshmoove1 ❤️🤞🏾 
JSeramba, Mon Feb 01 23:05:54 +0000 2021, -80.846785, 35.209059, ‘Category 5’ COVID Hurricane Approaches, Expert Says https://t.co/aDXxzjuZPc from @WebMD 
truthwisper47, Mon Feb 01 23:05:54 +0000 2021, -86.680738, 32.576227, @aldotcom Other restaurants show take notes and learn to be respectful towards people like Chick- fil -a 
sensationall_, Mon Feb 01 23:05:54 +0000 2021, -75.770041, 42.746617, Bloomberg would never. 
royalrea_, Mon Feb 01 23:05:54 +0000 2021, -118.411907, 34.020789, I be sitting quiet on a lot of topics on here but I’m bout to start getting on youtube and addressing them. I have a lot to say😂 
KeepingUpWNani, Mon Feb 01 23:05:54 +0000 2021, -71.088712, 42.313670, All this balling might offend, gon fuck up your mental 
xxisaacgogelxx, Mon Feb 01 23:05:54 +0000 2021, -86.441236, 39.766555, @Patskrieg Absolutely not, a guard? 🤣🤣 Dime a dozen. 
IsaiahRobledo15, Mon Feb 01 23:05:54 +0000 2021, -95.446486, 29.838495, https://t.co/6RVdOLD1QW 
jabbourestephan, Mon Feb 01 23:05:54 +0000 2021, -75.523613, 40.576920, @LVFoxSports game 🏈 emmitt smith, the greatest running back in super bowl history 
CoachJoeyG, Mon Feb 01 23:05:54 +0000 2021, -80.134986, 26.373976, Speed ⚡️⚡️⚡️ #keepup #fast #sprint https://t.co/az6UhtvmH8 
TerrellConley8, Mon Feb 01 23:05:54 +0000 2021, -79.861034, 35.170499, @UNCBarstool Cough cough Michael Jordan. 
richlocus, Mon Feb 01 23:05:54 +0000 2021, -123.122401, 44.065621, @Eiggam5955 Nice! 
BHudTV, Mon Feb 01 23:05:55 +0000 2021, -75.117998, 40.004866, @WendyWarren Gotta get #SnowRat trending! 
SG_Lucey, Mon Feb 01 23:05:55 +0000 2021, -70.778783, 43.056114, Idk who needs to hear this, but kids ARE *in* school, they just might not be *inside* a school building. 
Carrollisd, Mon Feb 01 23:05:55 +0000 2021, -97.150999, 32.960651, Board President Michelle Moore has called tonight’s meeting to order. Students from @Jack_D_Johnson led the pledges… https://t.co/moDKndAyqR 
Cherryr08486521, Mon Feb 01 23:05:55 +0000 2021, -96.797440, 32.776115, Think big👌 https://t.co/LLGQgdNFSQ 
jalbertomonroy, Mon Feb 01 23:05:55 +0000 2021, -100.293591, 25.641718, @Cahuackan Dany la montaña te llama... 😃 
MWard1950, Mon Feb 01 23:05:55 +0000 2021, -119.165389, 34.181956, Yep, he doesn’t even have to be brought up! #ByeFelicia 💯 
natecertified, Mon Feb 01 23:05:55 +0000 2021, -118.411907, 34.020789, These fake hard 
